CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.02.02;Outros;6629.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.02.02;Outros;1299.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.02.02.03;Cashback a Pagar;0.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.02.02.03;Cashback a Pagar;0.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.02.02.04;Contas a pagar por aquisições de empresas;6164.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.02.02.04;Contas a pagar por aquisições de empresas;616.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.02.02.05;Opção de Compra;0.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.02.02.05;Opção de Compra;0.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.02.02.06;Obrigações Trabalhistas e Tributárias;403.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.02.02.06;Obrigações Trabalhistas e Tributárias;681.0000000000;N
